Case #,Date,country_id,state_id, Description , Deaths , Tesla driver , Tesla occupant , Other vehicle , Cyclists/ Peds , TSLA+cycl / peds ,model_id, Autopilot claimed , Verified Tesla Autopilot Deaths , Verified Tesla Autopilot Deaths + All Deaths Reported to NHTSA SGO 
216,4/8/2022,c013,, Head-on collision with truck and Tesla ,1,,,,,1,,,,
210,3/13/2022,c019,, Frontal collision between Tesla and VW ,1,,,1,,1,,,,
208,3/7/2022,c005,," Tesla on Autopilot hits maintenance car, then BMW hits responder ",1,,,,1,1,,1,,
196,12/24/2021,c005,, Tesla loses control and drives into river ,1,1,,,,1,,,,
194,12/11/2021,c008,, Crash in public area including 20 injuries ,1,,,,1,1,,,,
192,12/7/2021,c009,," Tesla crashes into trees, flames erupt ",1,1,,,,1,,,,
191,12/2/2021,c005,, Motorbiker killed by Tesla ,1,,,1,,,,,,
179,9/4/2021,c005,, Tesla hit pedestrian crossing road ,1,,,,1,1,,,,
176,8/26/2021,c013,, Tesla hits tree ,1,1,,,,1,,,,
173,7/26/2021,c013,," Four vehicle collision, Tesla catches fire ",1,,,,,,,,,
165,6/16/2021,c006,," Driver loses control of car, crashes into tree ",1,1,,,,1,,,,
160,5/15/2021,c005,, Tesla hits police officers and kills one ,1,,,,1,1,,,,
159,5/7/2021,c005,, Tesla runs into back of truck ,1,1,,,,1,,,,
156,4/17/2021,c005,, Tesla hits concrete barrier and spontaneously combusts ,1,,1,,,1,,,,
155,4/16/2021,c008,, Tesla crashes into tree with 5 occupants ,2,,,,,2,,,,
153,4/13/2021,c009,," Tesla goes off road, hits a tree, and bursts into flames ",1,1,,,,1,m004,,,
151,4/1/2021,c005,," Driver hit traffic island, Tesla catches on fire ",1,1,,,,1,m003,,,
150,3/21/2021,c021,," Pedestrian hit in collision, later dies in hospital weeks later ",1,,,,1,1,,,,
149,3/20/2021,c003,," Driver runs over curb, loses control and hit pole ",1,1,,,,1,,,,
148,3/13/2021,c021,, Tesla crashes into stationary van ,1,,,1,,,m003,,,
140,12/18/2020,c015,, Tesla driver crashes into pole and dies in resulting fire ,1,1,,,,1,,,,
138,12/9/2020,c017,," Car goes out of control and crashes into a wall, ignites ",1,,1,,,1,m005,1,,
133,10/7/2020,c003,," Driver going wrong direction hits Tesla, driver later dies ",1,0,,1,,,m003,,,
129,9/5/2020,c005,," Tesla crashes into crowd, 2 dead and several injured ",2,0,,,2,2,m005,,,
127,8/13/2020,c009,, Tesla crashes into tree ,1,1,,,,1,m005,1,,
122,6/21/2020,c009,," Tesla veers into other lane, crashes into oncoming car ",3,0,,3,,,m003,1,,
121,6/17/2020,c004,, Motorcyclist killed in crash with Tesla ,1,0,,1,,,,,,
120,6/8/2020,c013,, Driver has heart attack and crashes Tesla ,1,1,,,,1,m003,,,
116,5/4/2020,c014,, Tesla strikes and kills a man standing next to his truck ,1,0,,1,,,m004,1,1,1
115,4/24/2020,c013,," Tesla runs off road, crashes, catches fire ",1,1,,,,1,,,,
114,4/3/2020,c020,, Tesla rolls over and catches on fire ,1,1,0,0,0,1,m003,,,
111,3/4/2020,c013,, Three car collision ,1,0,0,1,0,0,,,,
109,2/24/2020,c004,, Tesla drives off cliff ,3,1,2,0,0,3,m003,,,
106,1/21/2020,c009,, Sudden unintended acceleration kills store patron ,1,0,0,0,1,1,m004,,,
105,1/19/2020,c020,," Tesla t-bones sedan, kills pedestrian ",1,0,0,0,1,1,m005,,,
99,12/23/2019,c016,, Drunk driver strikes Tesla ,1,0,0,1,0,0,m004,,,
94,11/24/2019,c020,," Tesla strikes divider, driver falls to death ",1,1,0,0,0,1,m003,,,
91,11/20/2019,c002,, Tesla strikes impact attenuator ,1,1,0,0,0,1,m003,,,
88,11/14/2019,c009,, Tesla kills pedestrian ,1,0,0,0,1,1,m003,,,
85,11/1/2019,c014,, Three car collision ,1,0,0,0,0,0,m004,,,
83,10/17/2019,c009,, Tesla turns into oncoming motorcyclist ,1,0,0,1,0,0,m004,,,
75,9/1/2019,c009,, Tesla into oncoming traffic ,2,0,0,2,0,0,,,,
73,8/15/2019,c009,, Tesla kills motorcyclist ,1,0,0,1,0,0,m004,,,
67,6/7/2019,c022,, Tesla strikes construction vehicle ,1,0,1,0,0,1,m005,,,
64,4/30/2019,c018,, Car drifts into Tesla's lane ,1,0,0,1,0,0,m004,,,
61,3/18/2019,c004,," Tesla strikes pole, burns ",1,1,0,0,0,1,m005,,,
56,1/30/2019,c010,, Driver mistakenly believes Autopilot is on ,1,0,0,1,0,0,m004,1,,
53,11/15/2018,c006,, Tesla into oncoming traffic ,1,0,0,1,0,0,m004,,,
50,10/26/2018,c004,, Tesla drives off road ,1,0,1,0,0,1,m004,,,
48,9/15/2018,c011,, Tesla rear ends stopped car ,2,0,0,2,0,0,m005,,,
47,8/4/2018,c010,, Tesla crashes into tree ,1,0,1,0,0,1,m004,,,
44,5/10/2018,c019,," Tesla drives into median, burns ",1,1,0,0,0,1,,,,
42,4/29/2018,c011,, Sleeping Tesla driver kills motorcyclist ,1,0,0,1,0,0,m005,1,1,1
39,3/12/2018,c005,, Tesla kills pedestrian ,1,0,0,0,1,1,,,,
38,3/12/2018,c014,, Sudden unintended acceleration into wall ,1,1,0,0,0,1,,,,
37,11/22/2017,c019,, Tesla rear ends stopped car ,1,0,0,1,0,0,m004,,,
36,11/14/2017,c001,, Tesla kills cyclist ,1,0,0,0,1,1,,,,
29,4/26/2017,c014,, Tesla into oncoming traffic ,1,0,0,1,0,0,,,,
27,1/17/2017,c009,, Driver died in pileup ,1,1,0,0,0,1,,,,
21,9/7/2016,c010,, Drove into wooded ravine ,1,1,0,0,0,1,,,,
12,1/20/2016,c005,, AutoPilot into street sweeper ,1,1,0,0,0,1,m004,1,1,1
10,12/22/2015,c004,, Struck by dumptruck ,1,1,0,0,0,1,,,,
